City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
636,Dubai,AE,81.21,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
638,Anaco,VE,85.01,overcast clouds,9.4389,-64.4728,SAIVEN MALL (SAIVEN C.A.)
644,Kupang,ID,80.46,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
648,Daru,PG,81.07,overcast clouds,-9.0763,143.2092,Daru Lodge
660,Manjeshwar,IN,77.95,overcast clouds,12.7194,74.8861,SOOFINAGAR
663,Dwarka,IN,75.42,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
664,Becerril,CO,80.64,overcast clouds,9.7041,-73.2793,Barrio El Carmen
666,Chake Chake,TZ,77.83,broken clouds,-5.2459,39.7666,Hotel Archipelago
684,Humaita,BR,84.65,light rain,-7.5061,-63.0208,Corrêa Hotel
686,Tecoanapa,MX,83.55,clear sky,16.5167,-98.75,Hotel Manglares
