City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
63,Bengkulu,-3.8004,102.2655,82.99,69,92,2.68,ID,2021-11-22 02:27:18
64,Adrar,20.5022,-10.0711,76.59,29,100,10.02,MR,2021-11-22 02:27:19
65,Bud,39.447,-86.1758,45.82,97,1,8.21,US,2021-11-22 02:25:16
66,Nanortalik,60.1432,-45.2371,30.31,94,85,10.67,GL,2021-11-22 02:27:20
67,Nhlangano,-27.1167,31.2,58.53,98,100,2.48,SZ,2021-11-22 02:27:20
68,Haines Junction,60.7522,-137.5108,-2.25,71,100,4.61,CA,2021-11-22 02:27:21
69,Palmer,42.1584,-72.3287,49.86,80,90,6.91,US,2021-11-22 02:27:21
70,Pisco,-13.7,-76.2167,64.45,82,0,12.66,PE,2021-11-22 02:27:22
71,Denpasar,-8.65,115.2167,85.71,79,20,10.36,ID,2021-11-22 02:27:22
72,Port Elizabeth,-33.918,25.5701,68.09,94,90,3.44,ZA,2021-11-22 02:27:23
73,Mar Del Plata,-38.0023,-57.5575,62.87,80,0,3.44,AR,2021-11-22 02:23:02
74,Igarka,67.4667,86.5833,-3.91,91,100,16.31,RU,2021-11-22 02:27:24
75,Atuona,-9.8,-139.0333,78.26,72,100,10.22,PF,2021-11-22 02:27:24
76,Puerto Ayora,-0.7393,-90.3518,69.55,80,69,7.0,EC,2021-11-22 02:27:24
77,Touros,-5.1989,-35.4608,81.5,74,18,12.24,BR,2021-11-22 02:27:25
78,Khasan,42.4308,130.6434,31.46,59,100,27.04,RU,2021-11-22 02:27:25
79,Bluff,-46.6,168.3333,51.93,73,100,8.95,NZ,2021-11-22 02:27:26
80,Acapulco,16.8634,-99.8901,80.42,83,20,2.3,MX,2021-11-22 02:27:27
81,Yulara,-25.2406,130.9889,85.84,21,100,12.66,AU,2021-11-22 02:22:53
82,Marzuq,14.4,46.4667,65.55,47,96,0.67,YE,2021-11-22 02:27:27
83,Avesta,60.1455,16.1679,23.59,68,66,4.59,SE,2021-11-22 02:27:28
84,Ribeira Grande,38.5167,-28.7,65.26,84,99,26.75,PT,2021-11-22 02:27:28
85,Luderitz,-26.6481,15.1594,58.62,83,25,9.08,NA,2021-11-22 02:27:28
86,La Ronge,55.1001,-105.2842,12.45,79,90,8.05,CA,2021-11-22 02:27:29
87,Friesach,46.9553,14.4058,43.97,87,100,1.03,AT,2021-11-22 02:27:29
88,Vao,-22.6667,167.4833,74.52,77,4,9.28,NC,2021-11-22 02:27:30
89,Grand Gaube,-20.0064,57.6608,73.8,86,0,1.99,MU,2021-11-22 02:27:30
90,Nova Olimpia,-14.7972,-57.2881,74.41,95,100,3.76,BR,2021-11-22 02:27:31
91,Willowmore,-33.2926,23.4895,58.98,83,30,3.11,ZA,2021-11-22 02:28:31
92,Daru,-9.0763,143.2092,86.31,69,56,8.16,PG,2021-11-22 02:28:32
93,New Norfolk,-42.7826,147.0587,72.66,36,36,1.99,AU,2021-11-22 02:28:32
94,Mbini,1.574,9.6134,77.49,89,96,6.67,GQ,2021-11-22 02:28:33
95,Iqaluit,63.7506,-68.5145,13.73,85,90,5.75,CA,2021-11-22 02:28:34
96,Narsaq,60.9167,-46.05,34.02,97,98,4.36,GL,2021-11-22 02:28:34
97,Meulaboh,4.1363,96.1285,79.39,81,96,3.56,ID,2021-11-22 02:28:35
98,Goksun,38.021,36.4973,32.95,92,11,1.07,TR,2021-11-22 02:28:35
99,Lompoc,34.6391,-120.4579,69.1,50,1,3.44,US,2021-11-22 02:26:48
100,Gornopravdinsk,60.05,69.9,22.06,93,100,9.04,RU,2021-11-22 02:28:36
101,Barrow,71.2906,-156.7887,-5.78,77,20,9.22,US,2021-11-22 02:24:24
102,Zabol,32.25,67.25,35.33,46,0,2.82,AF,2021-11-22 02:28:37
103,Shingu,33.7333,135.9833,68.99,93,100,11.5,JP,2021-11-22 02:28:37
104,Isangel,-19.55,169.2667,82.22,71,100,8.41,VU,2021-11-22 02:28:38
105,Khatanga,71.9667,102.5,-34.35,99,6,3.8,RU,2021-11-22 02:28:38
106,Yellowknife,62.456,-114.3525,5.41,89,90,1.01,CA,2021-11-22 02:28:39
107,Mahebourg,-20.4081,57.7,73.69,88,75,3.44,MU,2021-11-22 02:28:39
108,High Level,58.5169,-117.136,10.51,85,90,0.0,CA,2021-11-22 02:28:40
109,Aasiaat,68.7098,-52.8699,17.98,80,100,8.95,GL,2021-11-22 02:28:40
110,Maragogi,-9.0122,-35.2225,77.94,78,13,8.61,BR,2021-11-22 02:28:41
111,Te Anau,-45.4167,167.7167,55.2,83,96,2.51,NZ,2021-11-22 02:28:41
